timestamp,fpga_ip,fpga_ctrl_port,fpga_data_port,local_port,payload_size,sent,received,lost,min_ms,avg_ms,max_ms,stddev_ms
1781824860,192.168.1.12,55555,1234,9999,256,1000,1000,0,0.087943000,0.089046338,0.095443000,0.000667952
1781824861,192.168.1.12,55555,1234,9999,256,1000,1000,0,0.087962000,0.089790624,0.183627000,0.006035519
1781824862,192.168.1.12,55555,1234,9999,256,1000,1000,0,0.087907000,0.089480039,0.235127000,0.006397020
1781824863,192.168.1.12,55555,1234,9999,256,1000,1000,0,0.088018000,0.089143700,0.135646000,0.002489381
1781824864,192.168.1.12,55555,1234,9999,256,1000,1000,0,0.087924000,0.089407263,0.255774000,0.006367554
1781824866,192.168.1.12,55555,1234,9999,330,1000,1000,0,0.095610000,0.097099607,0.112962000,0.001140470
1781824867,192.168.1.12,55555,1234,9999,330,1000,1000,0,0.092461000,0.093876607,0.140442000,0.002203020
1781824868,192.168.1.12,55555,1234,9999,330,1000,1000,0,0.092536000,0.093813645,0.129850000,0.001373614
1781824869,192.168.1.12,55555,1234,9999,330,1000,1000,0,0.092499000,0.093783605,0.114869000,0.001150512
1781824870,192.168.1.12,55555,1234,9999,330,1000,1000,0,0.092555000,0.093849977,0.128498000,0.001714874
1781824871,192.168.1.12,55555,1234,9999,404,1000,1000,0,0.099480000,0.101364732,0.271681000,0.005563707
1781824872,192.168.1.12,55555,1234,9999,404,1000,1000,0,0.099499000,0.100879836,0.127091000,0.001211779
1781824873,192.168.1.12,55555,1234,9999,404,1000,1000,0,0.099777000,0.102087682,0.271589000,0.007655976
1781824874,192.168.1.12,55555,1234,9999,404,1000,1000,0,0.099480000,0.100921636,0.137924000,0.001494186
1781824875,192.168.1.12,55555,1234,9999,404,1000,1000,0,0.073906000,0.100039892,0.120017000,0.001766969
1781824877,192.168.1.12,55555,1234,9999,478,1000,1000,0,0.102739000,0.105654351,0.176886000,0.003675059
1781824878,192.168.1.12,55555,1234,9999,478,1000,1000,0,0.103517000,0.105137480,0.164702000,0.003321693
1781824879,192.168.1.12,55555,1234,9999,478,1000,1000,0,0.103980000,0.105802159,0.362643000,0.008227385
1781824880,192.168.1.12,55555,1234,9999,478,1000,1000,0,0.103351000,0.105639584,0.250737000,0.005568233
1781824881,192.168.1.12,55555,1234,9999,478,1000,1000,0,0.103072000,0.106315901,0.453013000,0.014276755
1781824882,192.168.1.12,55555,1234,9999,552,1000,1000,0,0.108091000,0.109765548,0.212460000,0.003961182
1781824883,192.168.1.12,55555,1234,9999,552,1000,1000,0,0.107628000,0.110245992,0.279589000,0.007574375
1781824884,192.168.1.12,55555,1234,9999,552,1000,1000,0,0.107480000,0.109532214,0.162498000,0.003218225
1781824885,192.168.1.12,55555,1234,9999,552,1000,1000,0,0.107092000,0.109140004,0.192757000,0.003365129
1781824887,192.168.1.12,55555,1234,9999,552,1000,1000,0,0.107739000,0.109735169,0.158461000,0.002022880
1781824888,192.168.1.12,55555,1234,9999,626,1000,1000,0,0.113869000,0.119853275,0.211256000,0.003307512
1781824889,192.168.1.12,55555,1234,9999,626,1000,1000,0,0.115387000,0.119944153,0.149424000,0.001488678
1781824890,192.168.1.12,55555,1234,9999,626,1000,1000,0,0.117036000,0.119620488,0.175128000,0.003036421
1781824891,192.168.1.12,55555,1234,9999,626,1000,1000,0,0.116091000,0.120226288,0.342792000,0.008457307
1781824892,192.168.1.12,55555,1234,9999,626,1000,1000,0,0.114906000,0.120296763,0.200035000,0.003842283
1781824893,192.168.1.12,55555,1234,9999,700,1000,1000,0,0.121554000,0.123670382,0.235127000,0.005185978
1781824895,192.168.1.12,55555,1234,9999,700,1000,1000,0,0.121516000,0.123651115,0.180313000,0.002288190
1781824896,192.168.1.12,55555,1234,9999,700,1000,1000,0,0.122351000,0.123621049,0.369570000,0.007839101
