test,payload_size,runs,avg_ms_mean,avg_ms_std,lost_pct_mean,lost_pct_std
rtt,256,10,0.047360080,0.001161261,0.000000000,0.000000000
rtt,320,10,0.050728812,0.001114614,0.000000000,0.000000000
rtt,384,10,0.053838903,0.000149618,0.000000000,0.000000000
rtt,448,10,0.056794369,0.000245317,0.000000000,0.000000000
rtt,512,10,0.059864975,0.000760914,0.000000000,0.000000000
rtt,576,10,0.065176504,0.000140711,0.000000000,0.000000000
rtt,640,10,0.065999553,0.000527446,0.000000000,0.000000000
rtt,704,10,0.069285361,0.000132361,0.000000000,0.000000000
rtt,768,10,0.072750264,0.000186104,0.000000000,0.000000000
rtt,832,10,0.075285934,0.000200802,0.000000000,0.000000000
rtt,896,10,0.078499668,0.000167532,0.000000000,0.000000000
rtt,960,10,0.081306776,0.000966501,0.000000000,0.000000000
rtt,1024,10,0.084196729,0.000391188,0.000000000,0.000000000
rtt,1088,10,0.087368967,0.000094431,0.000000000,0.000000000
rtt,1152,10,0.090347104,0.000167429,0.000000000,0.000000000
rtt,1216,10,0.094039472,0.000074185,0.000000000,0.000000000
rtt,1280,10,0.096579846,0.000051058,0.000000000,0.000000000
rtt,1344,10,0.099736197,0.000034887,0.000000000,0.000000000
rtt,1408,10,0.102728052,0.000428655,0.000000000,0.000000000
rtt,1472,10,0.105495638,0.000063646,0.000000000,0.000000000
