timestamp,fpga_ip,fpga_ctrl_port,fpga_data_port,local_port,packet_count,payload_size,sent_packets,send_errors,drained_packets,elapsed_s,packets_per_second,payload_mbps,estimated_wire_mbps
1782427077,192.168.1.12,55555,1234,9999,100000,256,100000,0,0,0.257600028,388198.716,795.030969,999.999891
1782427079,192.168.1.12,55555,1234,9999,100000,256,100000,0,0,0.257600021,388198.726,795.030991,999.999918
1782427080,192.168.1.12,55555,1234,9999,100000,256,100000,0,0,0.257600039,388198.699,795.030936,999.999849
1782427081,192.168.1.12,55555,1234,9999,100000,256,100000,0,0,0.257600033,388198.708,795.030954,999.999872
1782427083,192.168.1.12,55555,1234,9999,100000,256,100000,0,0,0.257600030,388198.713,795.030963,999.999884
1782427084,192.168.1.12,55555,1234,9999,100000,256,100000,0,0,0.257600035,388198.705,795.030948,999.999864
1782427085,192.168.1.12,55555,1234,9999,100000,256,100000,0,0,0.257600036,388198.704,795.030945,999.999860
1782427087,192.168.1.12,55555,1234,9999,100000,256,100000,0,0,0.257600022,388198.725,795.030988,999.999915
1782427088,192.168.1.12,55555,1234,9999,100000,256,100000,0,0,0.257600034,388198.707,795.030951,999.999868
1782427089,192.168.1.12,55555,1234,9999,100000,256,100000,0,0,0.257600033,388198.708,795.030954,999.999872
1782427091,192.168.1.12,55555,1234,9999,100000,320,100000,0,0,0.308800031,323834.164,829.015461,999.999900
1782427092,192.168.1.12,55555,1234,9999,100000,320,100000,0,0,0.308800036,323834.159,829.015447,999.999883
1782427093,192.168.1.12,55555,1234,9999,100000,320,100000,0,0,0.308800031,323834.164,829.015461,999.999900
1782427095,192.168.1.12,55555,1234,9999,100000,320,100000,0,0,0.308800035,323834.160,829.015450,999.999887
1782427096,192.168.1.12,55555,1234,9999,100000,320,100000,0,0,0.308800028,323834.168,829.015469,999.999909
1782427097,192.168.1.12,55555,1234,9999,100000,320,100000,0,0,0.308800039,323834.156,829.015439,999.999874
1782427099,192.168.1.12,55555,1234,9999,100000,320,100000,0,0,0.308800038,323834.157,829.015442,999.999877
1782427100,192.168.1.12,55555,1234,9999,100000,320,100000,0,0,0.308800038,323834.157,829.015442,999.999877
1782427102,192.168.1.12,55555,1234,9999,100000,320,100000,0,0,0.308800032,323834.163,829.015458,999.999896
1782427103,192.168.1.12,55555,1234,9999,100000,320,100000,0,0,0.308800027,323834.169,829.015472,999.999913
1782427104,192.168.1.12,55555,1234,9999,100000,384,100000,0,0,0.360000022,277777.761,853.333281,999.999939
1782427106,192.168.1.12,55555,1234,9999,100000,384,100000,0,0,0.360000046,277777.742,853.333224,999.999872
1782427107,192.168.1.12,55555,1234,9999,100000,384,100000,0,0,0.360000028,277777.756,853.333267,999.999922
1782427109,192.168.1.12,55555,1234,9999,100000,384,100000,0,0,0.360000039,277777.748,853.333241,999.999892
1782427110,192.168.1.12,55555,1234,9999,100000,384,100000,0,0,0.360000021,277777.762,853.333284,999.999942
1782427111,192.168.1.12,55555,1234,9999,100000,384,100000,0,0,0.360000034,277777.752,853.333253,999.999906
1782427113,192.168.1.12,55555,1234,9999,100000,384,100000,0,0,0.360000033,277777.752,853.333255,999.999908
1782427114,192.168.1.12,55555,1234,9999,100000,384,100000,0,0,0.360000034,277777.752,853.333253,999.999906
1782427116,192.168.1.12,55555,1234,9999,100000,384,100000,0,0,0.360000033,277777.752,853.333255,999.999908
1782427117,192.168.1.12,55555,1234,9999,100000,384,100000,0,0,0.360000024,277777.759,853.333276,999.999933
1782427119,192.168.1.12,55555,1234,9999,100000,448,100000,0,0,0.411200035,243190.641,871.595257,999.999915
1782427120,192.168.1.12,55555,1234,9999,100000,448,100000,0,0,0.411200029,243190.644,871.595269,999.999929
1782427122,192.168.1.12,55555,1234,9999,100000,448,100000,0,0,0.411200031,243190.643,871.595265,999.999925
1782427123,192.168.1.12,55555,1234,9999,100000,448,100000,0,0,0.411200038,243190.639,871.595250,999.999908
1782427124,192.168.1.12,55555,1234,9999,100000,448,100000,0,0,0.411200030,243190.644,871.595267,999.999927
1782427126,192.168.1.12,55555,1234,9999,100000,448,100000,0,0,0.411200023,243190.648,871.595282,999.999944
1782427127,192.168.1.12,55555,1234,9999,100000,448,100000,0,0,0.411200037,243190.640,871.595252,999.999910
1782427129,192.168.1.12,55555,1234,9999,100000,448,100000,0,0,0.411200037,243190.640,871.595252,999.999910
1782427130,192.168.1.12,55555,1234,9999,100000,448,100000,0,0,0.411200038,243190.639,871.595250,999.999908
1782427132,192.168.1.12,55555,1234,9999,100000,448,100000,0,0,0.411200038,243190.639,871.595250,999.999908
1782427133,192.168.1.12,55555,1234,9999,100000,512,100000,0,0,0.462400030,216262.962,885.813091,999.999935
1782427135,192.168.1.12,55555,1234,9999,100000,512,100000,0,0,0.462400023,216262.965,885.813105,999.999950
1782427136,192.168.1.12,55555,1234,9999,100000,512,100000,0,0,0.462400020,216262.966,885.813110,999.999957
1782427138,192.168.1.12,55555,1234,9999,100000,512,100000,0,0,0.462400029,216262.962,885.813093,999.999937
1782427139,192.168.1.12,55555,1234,9999,100000,512,100000,0,0,0.462400032,216262.961,885.813087,999.999931
1782427141,192.168.1.12,55555,1234,9999,100000,512,100000,0,0,0.462400023,216262.965,885.813105,999.999950
1782427142,192.168.1.12,55555,1234,9999,100000,512,100000,0,0,0.462400025,216262.964,885.813101,999.999946
1782427144,192.168.1.12,55555,1234,9999,100000,512,100000,0,0,0.462400036,216262.959,885.813080,999.999922
1782427145,192.168.1.12,55555,1234,9999,100000,512,100000,0,0,0.462400035,216262.959,885.813082,999.999924
1782427147,192.168.1.12,55555,1234,9999,100000,512,100000,0,0,0.462400035,216262.959,885.813082,999.999924
1782427149,192.168.1.12,55555,1234,9999,100000,576,100000,0,0,0.513600034,194704.037,897.196202,999.999934
1782427150,192.168.1.12,55555,1234,9999,100000,576,100000,0,0,0.513600036,194704.036,897.196199,999.999930
1782427152,192.168.1.12,55555,1234,9999,100000,576,100000,0,0,0.513600038,194704.035,897.196195,999.999926
1782427153,192.168.1.12,55555,1234,9999,100000,576,100000,0,0,0.513600045,194704.033,897.196183,999.999912
1782427155,192.168.1.12,55555,1234,9999,100000,576,100000,0,0,0.513600030,194704.038,897.196209,999.999942
1782427156,192.168.1.12,55555,1234,9999,100000,576,100000,0,0,0.513600042,194704.034,897.196188,999.999918
1782427158,192.168.1.12,55555,1234,9999,100000,576,100000,0,0,0.513600031,194704.038,897.196208,999.999940
1782427160,192.168.1.12,55555,1234,9999,100000,576,100000,0,0,0.513600031,194704.038,897.196208,999.999940
1782427161,192.168.1.12,55555,1234,9999,100000,576,100000,0,0,0.513600028,194704.039,897.196213,999.999945
1782427163,192.168.1.12,55555,1234,9999,100000,576,100000,0,0,0.513600038,194704.035,897.196195,999.999926
1782427164,192.168.1.12,55555,1234,9999,100000,640,100000,0,0,0.564800023,177053.817,906.515544,999.999959
1782427166,192.168.1.12,55555,1234,9999,100000,640,100000,0,0,0.564800038,177053.812,906.515520,999.999933
1782427168,192.168.1.12,55555,1234,9999,100000,640,100000,0,0,0.564800037,177053.813,906.515521,999.999934
1782427169,192.168.1.12,55555,1234,9999,100000,640,100000,0,0,0.564800033,177053.814,906.515528,999.999942
1782427171,192.168.1.12,55555,1234,9999,100000,640,100000,0,0,0.564800030,177053.815,906.515533,999.999947
1782427172,192.168.1.12,55555,1234,9999,100000,640,100000,0,0,0.564800020,177053.818,906.515549,999.999965
1782427174,192.168.1.12,55555,1234,9999,100000,640,100000,0,0,0.564800021,177053.818,906.515547,999.999963
1782427176,192.168.1.12,55555,1234,9999,100000,640,100000,0,0,0.564800030,177053.815,906.515533,999.999947
1782427177,192.168.1.12,55555,1234,9999,100000,640,100000,0,0,0.564800033,177053.814,906.515528,999.999942
1782427179,192.168.1.12,55555,1234,9999,100000,640,100000,0,0,0.564800025,177053.817,906.515541,999.999956
1782427181,192.168.1.12,55555,1234,9999,100000,704,100000,0,0,0.616000023,162337.656,914.285680,999.999963
1782427182,192.168.1.12,55555,1234,9999,100000,704,100000,0,0,0.616000038,162337.652,914.285658,999.999938
1782427184,192.168.1.12,55555,1234,9999,100000,704,100000,0,0,0.616000036,162337.653,914.285661,999.999942
