timestamp,tx_fifo_overflow,tx_fifo_bad_frame,tx_fifo_good_frame,rx_error_bad_frame,rx_error_bad_fcs,rx_fifo_overflow,rx_fifo_bad_frame,rx_fifo_good_frame,eth_rx_error_header_early_termination,ip_rx_error_header_early_termination,ip_rx_error_payload_early_termination,ip_rx_error_invalid_header,ip_rx_error_invalid_checksum,ip_tx_error_payload_early_termination,ip_tx_error_arp_failed,udp_rx_error_header_early_termination,udp_rx_error_payload_early_termination,udp_tx_error_payload_early_termination,speed,flood,loopback,tx_busy,random,constant,sequential,payload_size_bytes,packets_per_trigger,mac,local_ip,gateway_ip,subnet_mask,dest_ip,src_port,dst_port
1782427077,0,0,451622131,367,367,25,367,251641194,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427077,0,0,451722131,368,368,25,368,251741194,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427078,0,0,451722136,368,368,25,368,251741201,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427078,0,0,451822135,370,370,25,370,251841200,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427079,0,0,451822140,370,370,25,370,251841207,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427080,0,0,451922139,372,372,25,372,251941206,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427081,0,0,451922144,372,372,25,372,251941213,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427081,0,0,452022143,374,374,25,374,252041212,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427082,0,0,452022148,374,374,25,374,252041219,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427082,0,0,452122148,375,375,25,375,252141219,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427083,0,0,452122153,375,375,25,375,252141226,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427084,0,0,452222154,375,375,25,375,252241227,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427085,0,0,452222159,375,375,25,375,252241234,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427085,0,0,452322160,375,375,25,375,252341235,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427086,0,0,452322165,375,375,25,375,252341242,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427086,0,0,452422166,375,375,25,375,252441243,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427087,0,0,452422171,375,375,25,375,252441250,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427087,0,0,452522172,375,375,25,375,252541251,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427088,0,0,452522177,375,375,25,375,252541258,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
1782427089,0,0,452622178,375,375,25,375,252641259,0,0,0,0,0,0,0,0,0,0,1000M,0,1,0,0,0,1,1472,100000,66:70:67:61:3A:30,192.168.1.12,192.168.1.1,255.255.255.0,192.168.1.110,1234,9999
