test,payload_size,runs,goodput_mbps_mean,goodput_mbps_std,wire_mbps_mean,wire_mbps_std,pps_mean,pps_std,theoretical_goodput_mbps,theoretical_pps,lost_pct_mean,lost_pct_std
loopback,256,10,795.030959900,0.000018052,999.999879300,0.000022828,388198.711100000,0.008900062,795.031055901,388198.757763975,0.000800000,0.000918937
loopback,320,10,829.015454100,0.000011742,999.999891600,0.000013954,323834.161700000,0.004620005,829.015544041,323834.196891192,0.000300000,0.000674949
loopback,384,10,853.333258900,0.000018604,999.999912800,0.000021776,277777.753600000,0.006113737,853.333333333,277777.777777778,0.000700000,0.001888562
loopback,448,10,871.595259400,0.000010916,999.999918400,0.000012304,243190.641700000,0.002983287,871.595330739,243190.661478599,0.000200000,0.000421637
loopback,512,10,885.813093600,0.000010997,999.999937600,0.000012554,216262.962200000,0.002699794,885.813148789,216262.975778547,0.000900000,0.000875595
loopback,576,10,897.196200000,0.000009809,999.999931300,0.000010894,194704.036300000,0.002002776,897.196261682,194704.049844237,0.000300000,0.000483046
loopback,640,10,906.515534400,0.000010437,999.999948800,0.000011487,177053.815300000,0.002110819,906.515580737,177053.824362606,0.000600000,0.000699206
loopback,704,10,914.285665000,0.000008446,999.999946100,0.000009362,162337.653500000,0.001509231,914.285714286,162337.662337662,0.000700000,0.000948683
loopback,768,10,920.863266300,0.000008394,999.999953400,0.000009107,149880.089100000,0.001286684,920.863309353,149880.095923261,0.000600000,0.000843274
loopback,832,10,926.503298600,0.000008154,999.999954700,0.000008590,139198.212000000,0.001154701,926.503340757,139198.218262806,0.000300000,0.000483046
loopback,896,10,931.392892500,0.000008155,999.999958200,0.000008791,129937.624700000,0.001251666,931.392931393,129937.629937630,0.000900000,0.000875595
loopback,960,10,935.672476500,0.000008383,999.999959300,0.000008895,121832.353700000,0.001159502,935.672514620,121832.358674464,0.000700000,0.000948683
loopback,1024,10,939.449505100,0.000006540,999.999961600,0.000006818,114678.894600000,0.000966092,939.449541284,114678.899082569,0.000200000,0.000421637
loopback,1088,10,942.807593000,0.000004784,999.999965400,0.000005232,108318.887100000,0.000737865,942.807625650,108318.890814558,0.000200000,0.000421637
loopback,1152,10,945.812780500,0.000008168,999.999970600,0.000008276,102627.254700000,0.000823273,945.812807882,102627.257799672,0.000600000,0.001074968
loopback,1216,10,948.517910000,0.000005207,999.999967600,0.000005641,97503.896800000,0.000788811,948.517940718,97503.900156006,0.001000000,0.000942809
loopback,1280,10,950.965797400,0.000004300,999.999971400,0.000004551,92867.753700000,0.000483046,950.965824666,92867.756315007,0.000600000,0.000699206
loopback,1344,10,953.191418500,0.000128859,999.999925700,0.000135257,88652.475700000,0.011851395,953.191489362,88652.482269504,0.000400000,0.000966092
loopback,1408,10,955.223855000,0.000006481,999.999973300,0.000006945,84803.254100000,0.000567646,955.223880597,84803.256445047,0.000800000,0.000918937
loopback,1472,10,957.087101500,0.000004116,999.999974400,0.000004274,81274.380100000,0.000316228,957.087126138,81274.382314694,0.000200000,0.000421637
