test,payload_size,runs,avg_ms_mean,avg_ms_std,lost_pct_mean,lost_pct_std
rtt,256,10,0.040153078,0.007671543,0.000000000,0.000000000
rtt,320,10,0.039168532,0.001797867,0.000000000,0.000000000
rtt,384,10,0.039878958,0.002638739,0.000000000,0.000000000
rtt,448,10,0.047453829,0.010610676,0.000000000,0.000000000
rtt,512,10,0.047471505,0.001435484,0.000000000,0.000000000
rtt,576,10,0.049932653,0.000249665,0.000000000,0.000000000
rtt,640,10,0.051946601,0.001418854,0.000000000,0.000000000
rtt,704,10,0.056034199,0.002276148,0.000000000,0.000000000
rtt,768,10,0.063643480,0.003660304,0.000000000,0.000000000
rtt,832,10,0.076222239,0.000560923,0.000000000,0.000000000
rtt,896,10,0.077483369,0.000186936,0.000000000,0.000000000
rtt,960,10,0.080443597,0.000207303,0.000000000,0.000000000
rtt,1024,10,0.082590319,0.000190922,0.000000000,0.000000000
rtt,1088,10,0.085450399,0.000276480,0.000000000,0.000000000
rtt,1152,10,0.088386001,0.000237950,0.000000000,0.000000000
rtt,1216,10,0.091557403,0.000202116,0.000000000,0.000000000
rtt,1280,10,0.093857998,0.000152989,0.000000000,0.000000000
rtt,1344,10,0.096663784,0.000246368,0.000000000,0.000000000
rtt,1408,10,0.099482970,0.000097412,0.000000000,0.000000000
rtt,1472,10,0.101784553,0.000150998,0.000000000,0.000000000
