test,payload_size,runs,avg_ms_mean,avg_ms_std,lost_pct_mean,lost_pct_std
rtt,256,10,1.317521598,0.005630512,0.000000000,0.000000000
rtt,320,10,1.312330248,0.004016983,0.000000000,0.000000000
rtt,384,10,1.320222565,0.004290144,0.000000000,0.000000000
rtt,448,10,1.325223586,0.004253056,0.000000000,0.000000000
rtt,512,10,1.328947030,0.003305298,0.000000000,0.000000000
rtt,576,10,1.333956421,0.003090290,0.000000000,0.000000000
rtt,640,10,1.340289385,0.010650547,0.000000000,0.000000000
rtt,704,10,1.353431124,0.008283600,0.000000000,0.000000000
rtt,768,10,1.354792313,0.010292157,0.000000000,0.000000000
rtt,832,10,1.358764093,0.010049916,0.000000000,0.000000000
rtt,896,10,1.356383141,0.010108384,0.000000000,0.000000000
rtt,960,10,1.368762849,0.015767733,0.000000000,0.000000000
rtt,1024,10,1.373740938,0.013209825,0.000000000,0.000000000
rtt,1088,10,1.387998556,0.023466743,0.000000000,0.000000000
rtt,1152,10,1.391496310,0.017304480,0.000000000,0.000000000
rtt,1216,10,1.396679210,0.015216696,0.000000000,0.000000000
rtt,1280,10,1.395111748,0.012274534,0.000000000,0.000000000
rtt,1344,10,1.408199310,0.013744290,0.000000000,0.000000000
rtt,1408,10,1.409027834,0.014170255,0.000000000,0.000000000
rtt,1472,10,1.406731301,0.017857505,0.000000000,0.000000000
