test,payload_size,runs,goodput_mbps_mean,goodput_mbps_std,wire_mbps_mean,wire_mbps_std,pps_mean,pps_std,theoretical_goodput_mbps,theoretical_pps,lost_pct_mean,lost_pct_std
loopback,256,10,795.030938100,0.000020366,999.999851800,0.000025568,388198.700300000,0.010252913,795.031055901,388198.757763975,0.000000000,0.000000000
loopback,320,10,827.584166700,4.526016823,998.273401100,5.459507626,323275.065200000,1767.975399997,829.015544041,323834.196891192,0.000400000,0.000516398
loopback,384,10,848.788070700,14.373029013,994.673520300,16.843393504,276298.200000000,4678.720505700,853.333333333,277777.777777778,0.000100000,0.000316228
loopback,448,10,871.595236900,0.000015723,999.999892600,0.000017964,243190.635300000,0.004547282,871.595330739,243190.661478599,0.000200000,0.000421637
loopback,512,10,885.813061400,0.000008422,999.999901300,0.000009661,216262.954300000,0.002162817,885.813148789,216262.975778547,0.000200000,0.000421637
loopback,576,10,897.196183200,0.000015936,999.999912500,0.000017665,194704.032800000,0.003457681,897.196261682,194704.049844237,0.000300000,0.000483046
loopback,640,10,906.515511600,0.000015035,999.999923700,0.000016506,177053.810900000,0.002923088,906.515580737,177053.824362606,0.000400000,0.000699206
loopback,704,10,914.285656000,0.000011175,999.999936200,0.000012327,162337.652000000,0.002108185,914.285714286,162337.662337662,0.000400000,0.000516398
loopback,768,10,920.863254100,0.000009983,999.999940200,0.000010912,149880.087000000,0.001763834,920.863309353,149880.095923261,0.000300000,0.000674949
loopback,832,10,926.503285700,0.000011344,999.999940500,0.000012195,139198.210000000,0.001632993,926.503340757,139198.218262806,0.000100000,0.000316228
loopback,896,10,931.392879700,0.000013334,999.999944500,0.000014331,129937.622800000,0.001873796,931.392931393,129937.629937630,0.000400000,0.000516398
loopback,960,10,935.672465000,0.000006272,999.999947100,0.000006724,121832.352100000,0.000875595,935.672514620,121832.358674464,0.000200000,0.000421637
loopback,1024,10,939.449498800,0.000010422,999.999954800,0.000010737,114678.894000000,0.001247219,939.449541284,114678.899082569,0.000000000,0.000000000
loopback,1088,10,942.807423500,0.000510064,999.999785400,0.000540952,108318.867500000,0.058511632,942.807625650,108318.890814558,0.000000000,0.000000000
loopback,1152,10,945.812766400,0.000006883,999.999956400,0.000006883,102627.253200000,0.000788811,945.812807882,102627.257799672,0.000000000,0.000000000
loopback,1216,10,948.517900100,0.000009386,999.999957100,0.000010192,97503.896000000,0.000816497,948.517940718,97503.900156006,0.000300000,0.000483046
loopback,1280,10,950.965378200,0.001300137,999.999530400,0.001366967,92867.712600000,0.127055718,950.965824666,92867.756315007,0.000300000,0.000483046
loopback,1344,10,953.191444900,0.000014731,999.999953300,0.000015261,88652.478200000,0.001316561,953.191489362,88652.482269504,0.000500000,0.000527046
loopback,1408,10,955.223847800,0.000004638,999.999965700,0.000004785,84803.253700000,0.000483046,955.223880597,84803.256445047,0.000500000,0.000707107
loopback,1472,10,957.087091500,0.000006502,999.999963900,0.000006806,81274.379300000,0.000674949,957.087126138,81274.382314694,0.000300000,0.000483046
