timestamp,fpga_ip,fpga_ctrl_port,fpga_data_port,local_port,payload_size,sent,received,lost,min_ms,avg_ms,max_ms,stddev_ms
1782402258,192.168.1.12,55555,1234,9999,256,1000,1000,0,1.286277000,1.324754132,1.884500000,0.036439536
1782402261,192.168.1.12,55555,1234,9999,256,1000,1000,0,1.291604000,1.318472383,1.840892000,0.024721688
1782402263,192.168.1.12,55555,1234,9999,256,1000,1000,0,1.277423000,1.315762729,1.489427000,0.017106229
1782402265,192.168.1.12,55555,1234,9999,256,1000,1000,0,1.285203000,1.309604394,1.399260000,0.007510120
1782402268,192.168.1.12,55555,1234,9999,256,1000,1000,0,1.288609000,1.306743790,1.354366000,0.005264487
1782402270,192.168.1.12,55555,1234,9999,256,1000,1000,0,1.290849000,1.317392666,1.546477000,0.022087649
1782402272,192.168.1.12,55555,1234,9999,256,1000,1000,0,1.304261000,1.322574033,1.573977000,0.018984500
1782402275,192.168.1.12,55555,1234,9999,256,1000,1000,0,1.296562000,1.321459657,1.512895000,0.017156673
1782402277,192.168.1.12,55555,1234,9999,256,1000,1000,0,1.293403000,1.320512733,1.509554000,0.011968294
1782402279,192.168.1.12,55555,1234,9999,256,1000,1000,0,1.288372000,1.317939458,1.450115000,0.016056597
1782402282,192.168.1.12,55555,1234,9999,320,1000,1000,0,1.287476000,1.313179775,1.473608000,0.017219882
1782402284,192.168.1.12,55555,1234,9999,320,1000,1000,0,1.290840000,1.313541970,1.812141000,0.024616541
1782402286,192.168.1.12,55555,1234,9999,320,1000,1000,0,1.287190000,1.306981724,1.531143000,0.010964877
1782402289,192.168.1.12,55555,1234,9999,320,1000,1000,0,1.289443000,1.309171951,1.433581000,0.009400771
1782402291,192.168.1.12,55555,1234,9999,320,1000,1000,0,1.295431000,1.320273231,1.904377000,0.029991372
1782402293,192.168.1.12,55555,1234,9999,320,1000,1000,0,1.291521000,1.312813880,1.410300000,0.010552691
1782402296,192.168.1.12,55555,1234,9999,320,1000,1000,0,1.287029000,1.310777874,1.427691000,0.015073384
1782402298,192.168.1.12,55555,1234,9999,320,1000,1000,0,1.289340000,1.312764137,1.436454000,0.014359887
1782402300,192.168.1.12,55555,1234,9999,320,1000,1000,0,1.286913000,1.307530972,1.429599000,0.009954409
1782402303,192.168.1.12,55555,1234,9999,320,1000,1000,0,1.288805000,1.316266969,1.534166000,0.018568241
1782402305,192.168.1.12,55555,1234,9999,384,1000,1000,0,1.289654000,1.321141117,1.492613000,0.020640313
1782402307,192.168.1.12,55555,1234,9999,384,1000,1000,0,1.292246000,1.317249297,1.575279000,0.018676758
1782402310,192.168.1.12,55555,1234,9999,384,1000,1000,0,1.289519000,1.324459388,1.781500000,0.025605909
1782402312,192.168.1.12,55555,1234,9999,384,1000,1000,0,1.288263000,1.320796989,1.663763000,0.020587481
1782402314,192.168.1.12,55555,1234,9999,384,1000,1000,0,1.295225000,1.323429271,1.831909000,0.019708496
1782402317,192.168.1.12,55555,1234,9999,384,1000,1000,0,1.306013000,1.325216141,1.531954000,0.019230886
1782402319,192.168.1.12,55555,1234,9999,384,1000,1000,0,1.284519000,1.322992497,1.579361000,0.022943337
1782402321,192.168.1.12,55555,1234,9999,384,1000,1000,0,1.291211000,1.311690667,1.419435000,0.010198826
1782402324,192.168.1.12,55555,1234,9999,384,1000,1000,0,1.274988000,1.319687367,1.791040000,0.025231637
1782402326,192.168.1.12,55555,1234,9999,384,1000,1000,0,1.287881000,1.315562916,1.609240000,0.023073360
1782402328,192.168.1.12,55555,1234,9999,448,1000,1000,0,1.290293000,1.314390715,1.517224000,0.014569849
1782402331,192.168.1.12,55555,1234,9999,448,1000,1000,0,1.304787000,1.327141651,1.541858000,0.013333704
