test,payload_size,runs,avg_ms_mean,avg_ms_std,lost_pct_mean,lost_pct_std
rtt,256,5,0.046421269,0.001812440,0.000000000,0.000000000
rtt,330,5,0.050723922,0.002205166,0.000000000,0.000000000
rtt,404,5,0.054688705,0.000045715,0.000000000,0.000000000
rtt,478,5,0.058292249,0.000212939,0.000000000,0.000000000
rtt,552,5,0.064038553,0.001345460,0.000000000,0.000000000
rtt,626,5,0.065709327,0.000247719,0.000000000,0.000000000
rtt,700,5,0.068990425,0.000446752,0.000000000,0.000000000
rtt,774,5,0.072753509,0.000129596,0.000000000,0.000000000
rtt,848,5,0.076244898,0.000123993,0.000000000,0.000000000
rtt,922,5,0.079675012,0.000219217,0.000000000,0.000000000
rtt,996,5,0.082993102,0.000107014,0.000000000,0.000000000
rtt,1070,5,0.086025345,0.001268725,0.000000000,0.000000000
rtt,1144,5,0.090521664,0.000048586,0.000000000,0.000000000
rtt,1218,5,0.094074654,0.000009929,0.000000000,0.000000000
rtt,1292,5,0.096379649,0.001637917,0.000000000,0.000000000
rtt,1366,5,0.100776780,0.000043011,0.000000000,0.000000000
rtt,1440,5,0.104202048,0.000048331,0.000000000,0.000000000
