timestamp,interface,mac,state,speed_mbps,duplex,rx_bytes,rx_packets,rx_errors,rx_dropped,tx_bytes,tx_packets,tx_errors,tx_dropped
1781837648,eth0,34:5a:60:15:24:69,up,2500,full,39793960035,35448679,0,0,24987910709,25460813,0,0
1781837650,eth0,34:5a:60:15:24:69,up,2500,full,40091948711,36448641,0,0,25285910709,26460813,0,0
1781837651,eth0,34:5a:60:15:24:69,up,2500,full,40091949653,36448647,0,0,25285911189,26460821,0,0
1781837654,eth0,34:5a:60:15:24:69,up,2500,full,40389943097,37448625,0,0,25583911189,27460821,0,0
1781837655,eth0,34:5a:60:15:24:69,up,2500,full,40389944039,37448631,0,0,25583911669,27460829,0,0
1781837658,eth0,34:5a:60:15:24:69,up,2500,full,40687939271,38448615,0,0,25881911669,28460829,0,0
1781837659,eth0,34:5a:60:15:24:69,up,2500,full,40687940213,38448621,0,0,25881912149,28460837,0,0
1781837661,eth0,34:5a:60:15:24:69,up,2500,full,40985931273,39448591,0,0,26179912149,29460837,0,0
1781837662,eth0,34:5a:60:15:24:69,up,2500,full,40985932215,39448597,0,0,26179912629,29460845,0,0
1781837665,eth0,34:5a:60:15:24:69,up,2500,full,41283924467,40448571,0,0,26477912629,30460845,0,0
1781837666,eth0,34:5a:60:15:24:69,up,2500,full,41283925409,40448577,0,0,26477913109,30460853,0,0
1781837669,eth0,34:5a:60:15:24:69,up,2500,full,41655912761,41448543,0,0,26849913109,31460853,0,0
1781837670,eth0,34:5a:60:15:24:69,up,2500,full,41655913703,41448549,0,0,26849913589,31460861,0,0
1781837673,eth0,34:5a:60:15:24:69,up,2500,full,42027898079,42448507,0,0,27221913589,32460861,0,0
1781837674,eth0,34:5a:60:15:24:69,up,2500,full,42027899021,42448513,0,0,27221914069,32460869,0,0
1781837678,eth0,34:5a:60:15:24:69,up,2500,full,42399891209,43448492,0,0,27593914069,33460869,0,0
1781837679,eth0,34:5a:60:15:24:69,up,2500,full,42399892151,43448498,0,0,27593914549,33460877,0,0
1781837682,eth0,34:5a:60:15:24:69,up,2500,full,42771886943,44448484,0,0,27965914549,34460877,0,0
1781837683,eth0,34:5a:60:15:24:69,up,2500,full,42771887885,44448490,0,0,27965915029,34460885,0,0
1781837686,eth0,34:5a:60:15:24:69,up,2500,full,43143879329,45448467,0,0,28337915029,35460885,0,0
1781837687,eth0,34:5a:60:15:24:69,up,2500,full,43143880271,45448473,0,0,28337915509,35460893,0,0
1781837691,eth0,34:5a:60:15:24:69,up,2500,full,43589876257,46448464,0,0,28783915509,36460893,0,0
1781837692,eth0,34:5a:60:15:24:69,up,2500,full,43589877199,46448470,0,0,28783915989,36460901,0,0
1781837696,eth0,34:5a:60:15:24:69,up,2500,full,44035875415,47448466,0,0,29229915989,37460901,0,0
1781837697,eth0,34:5a:60:15:24:69,up,2500,full,44035876357,47448472,0,0,29229916469,37460909,0,0
1781837701,eth0,34:5a:60:15:24:69,up,2500,full,44481873681,48448466,0,0,29675916469,38460909,0,0
1781837702,eth0,34:5a:60:15:24:69,up,2500,full,44481874623,48448472,0,0,29675916949,38460917,0,0
1781837705,eth0,34:5a:60:15:24:69,up,2500,full,44927874623,49448472,0,0,30121916949,39460917,0,0
1781837706,eth0,34:5a:60:15:24:69,up,2500,full,44927875565,49448478,0,0,30121917429,39460925,0,0
1781837710,eth0,34:5a:60:15:24:69,up,2500,full,45373875565,50448478,0,0,30567917429,40460925,0,0
1781837711,eth0,34:5a:60:15:24:69,up,2500,full,45373876507,50448484,0,0,30567917909,40460933,0,0
1781837716,eth0,34:5a:60:15:24:69,up,2500,full,45893841667,51448417,0,0,31087917909,41460933,0,0
1781837717,eth0,34:5a:60:15:24:69,up,2500,full,45893842609,51448423,0,0,31087918389,41460941,0,0
1781837721,eth0,34:5a:60:15:24:69,up,2500,full,46413809329,52448359,0,0,31607918389,42460941,0,0
1781837722,eth0,34:5a:60:15:24:69,up,2500,full,46413810271,52448365,0,0,31607918869,42460949,0,0
1781837726,eth0,34:5a:60:15:24:69,up,2500,full,46933776471,53448300,0,0,32127918869,43460949,0,0
1781837727,eth0,34:5a:60:15:24:69,up,2500,full,46933777413,53448306,0,0,32127919349,43460957,0,0
1781837732,eth0,34:5a:60:15:24:69,up,2500,full,47453747253,54448248,0,0,32647919349,44460957,0,0
1781837733,eth0,34:5a:60:15:24:69,up,2500,full,47453748195,54448254,0,0,32647919829,44460965,0,0
1781837737,eth0,34:5a:60:15:24:69,up,2500,full,47973708675,55448178,0,0,33167919829,45460965,0,0
1781837738,eth0,34:5a:60:15:24:69,up,2500,full,47973709617,55448184,0,0,33167920309,45460973,0,0
1781837743,eth0,34:5a:60:15:24:69,up,2500,full,48567660315,56448101,0,0,33761920309,46460973,0,0
1781837744,eth0,34:5a:60:15:24:69,up,2500,full,48567661257,56448107,0,0,33761920789,46460981,0,0
1781837749,eth0,34:5a:60:15:24:69,up,2500,full,49161605421,57448013,0,0,34355920789,47460981,0,0
1781837750,eth0,34:5a:60:15:24:69,up,2500,full,49161606363,57448019,0,0,34355921269,47460989,0,0
1781837755,eth0,34:5a:60:15:24:69,up,2500,full,49755552903,58447929,0,0,34949921269,48460989,0,0
1781837756,eth0,34:5a:60:15:24:69,up,2500,full,49755553845,58447935,0,0,34949921749,48460997,0,0
1781837761,eth0,34:5a:60:15:24:69,up,2500,full,50349503355,59447850,0,0,35543921749,49460997,0,0
1781837762,eth0,34:5a:60:15:24:69,up,2500,full,50349504297,59447856,0,0,35543922229,49461005,0,0
1781837767,eth0,34:5a:60:15:24:69,up,2500,full,50943452025,60447768,0,0,36137922229,50461005,0,0
1781837768,eth0,34:5a:60:15:24:69,up,2500,full,50943452967,60447774,0,0,36137922709,50461013,0,0
1781837774,eth0,34:5a:60:15:24:69,up,2500,full,51611387503,61447676,0,0,36805922709,51461013,0,0
1781837775,eth0,34:5a:60:15:24:69,up,2500,full,51611388445,61447682,0,0,36805923189,51461021,0,0
1781837780,eth0,34:5a:60:15:24:69,up,2500,full,52279336341,62447604,0,0,37473923189,52461021,0,0
1781837781,eth0,34:5a:60:15:24:69,up,2500,full,52279337283,62447610,0,0,37473923669,52461029,0,0
