direction,payload_size,runs,avg_ms_mean,avg_ms_std,lost_pct_mean,lost_pct_std
corundum-to-nic,256,3,0.047666667,0.000577350,0.000000000,0.000000000
corundum-to-nic,320,3,0.053666667,0.000577350,0.000000000,0.000000000
corundum-to-nic,384,3,0.062000000,0.001732051,0.000000000,0.000000000
corundum-to-nic,448,3,0.061000000,0.001000000,0.000000000,0.000000000
corundum-to-nic,512,3,0.060333333,0.001154701,0.000000000,0.000000000
corundum-to-nic,576,3,0.061333333,0.000577350,0.000000000,0.000000000
corundum-to-nic,640,3,0.061000000,0.001000000,0.000000000,0.000000000
corundum-to-nic,704,3,0.061666667,0.000577350,0.000000000,0.000000000
corundum-to-nic,768,3,0.061666667,0.000577350,0.000000000,0.000000000
corundum-to-nic,832,3,0.061666667,0.000577350,0.000000000,0.000000000
corundum-to-nic,896,3,0.061666667,0.000577350,0.000000000,0.000000000
corundum-to-nic,960,3,0.062666667,0.000577350,0.000000000,0.000000000
corundum-to-nic,1024,3,0.062666667,0.000577350,0.000000000,0.000000000
corundum-to-nic,1088,3,0.062666667,0.000577350,0.000000000,0.000000000
corundum-to-nic,1152,3,0.062666667,0.000577350,0.000000000,0.000000000
corundum-to-nic,1216,3,0.063000000,0.000000000,0.000000000,0.000000000
corundum-to-nic,1280,3,0.058000000,0.002645751,0.000000000,0.000000000
corundum-to-nic,1344,3,0.059000000,0.001000000,0.000000000,0.000000000
corundum-to-nic,1408,3,0.060333333,0.001154701,0.000000000,0.000000000
corundum-to-nic,1472,3,0.059666667,0.000577350,0.000000000,0.000000000
nic-to-corundum,256,3,0.051333333,0.002886751,0.000000000,0.000000000
nic-to-corundum,320,3,0.055666667,0.004041452,0.000000000,0.000000000
nic-to-corundum,384,3,0.063000000,0.000000000,0.000000000,0.000000000
nic-to-corundum,448,3,0.064000000,0.001732051,0.000000000,0.000000000
nic-to-corundum,512,3,0.063000000,0.001732051,0.000000000,0.000000000
nic-to-corundum,576,3,0.062666667,0.003055050,0.000000000,0.000000000
nic-to-corundum,640,3,0.066666667,0.002309401,0.000000000,0.000000000
nic-to-corundum,704,3,0.066000000,0.003605551,0.000000000,0.000000000
nic-to-corundum,768,3,0.068666667,0.004932883,0.000000000,0.000000000
nic-to-corundum,832,3,0.065666667,0.005507571,0.000000000,0.000000000
nic-to-corundum,896,3,0.062333333,0.001527525,0.000000000,0.000000000
nic-to-corundum,960,3,0.069333333,0.007505553,0.000000000,0.000000000
nic-to-corundum,1024,3,0.072666667,0.010969655,0.000000000,0.000000000
nic-to-corundum,1088,3,0.067000000,0.012767145,0.000000000,0.000000000
nic-to-corundum,1152,3,0.070333333,0.009237604,0.000000000,0.000000000
nic-to-corundum,1216,3,0.069666667,0.010785793,0.000000000,0.000000000
nic-to-corundum,1280,3,0.062000000,0.001732051,0.000000000,0.000000000
nic-to-corundum,1344,3,0.068000000,0.014933185,0.000000000,0.000000000
nic-to-corundum,1408,3,0.069000000,0.013892444,0.000000000,0.000000000
nic-to-corundum,1472,3,0.078000000,0.013856406,0.000000000,0.000000000
