direction,payload_size,runs,goodput_mbps_mean,goodput_mbps_std,pps_mean,pps_std,lost_pct_mean,lost_pct_std,lost_packets_mean,lost_packets_std,theoretical_goodput_mbps,theoretical_pps
corundum-to-nic,256,3,3484.090638758,292.420668132,3542605.991386412,14986.518057198,51.974897036,4.080296487,9582533.666666666,766941.137523170,7950.310559006,3881987.577639752
corundum-to-nic,320,3,4777.660465520,121.821586081,3037603.245062992,67889.619908698,38.533173731,2.379243003,5931868.333333333,362452.602361100,8290.155440415,3238341.968911917
corundum-to-nic,384,3,5823.939994019,197.950849448,2605011.528114687,58901.771286272,27.173558021,3.817396523,3586104.333333333,503880.302506789,8533.333333333,2777777.777777778
corundum-to-nic,448,3,6627.148541666,666.549678695,2280357.561228829,51881.467240916,18.781567938,9.790858020,2169927.333333333,1131142.131706857,8715.953307393,2431906.614785992
corundum-to-nic,512,3,7555.156434047,84.790843200,2054510.454796579,45.711207968,10.220933300,1.005606503,1050086.000000000,103284.183576189,8858.131487889,2162629.757785467
corundum-to-nic,576,3,8422.313643349,117.546015363,1849744.121730272,181.877920845,1.188613691,1.371887972,109940.000000000,126891.507485726,8971.962616822,1947040.498442368
corundum-to-nic,640,3,8611.675721190,0.051156611,1681967.914294986,9.991525571,0.000000000,0.000000000,0.000000000,0.000000000,9065.155807365,1770538.243626062
corundum-to-nic,704,3,8685.558625928,0.056037580,1542180.220415544,10.039573750,0.000000000,0.000000000,0.000000000,0.000000000,9142.857142857,1623376.623376623
corundum-to-nic,768,3,8747.970489451,0.031939568,1423823.321850730,5.198497399,0.000000000,0.000000000,0.000000000,0.000000000,9208.633093525,1498800.959232614
corundum-to-nic,832,3,8801.565403282,0.009777216,1322350.704733569,1.358796889,0.000000000,0.000000000,0.000000000,0.000000000,9265.033407572,1391982.182628062
corundum-to-nic,896,3,8848.022951397,0.025825966,1234378.335251831,3.556867051,0.000000000,0.000000000,0.000000000,0.000000000,9313.929313929,1299376.299376299
corundum-to-nic,960,3,8888.720742340,0.083230846,1157385.513325576,10.837349751,0.000000000,0.000000000,0.000000000,0.000000000,9356.725146199,1218323.586744639
corundum-to-nic,1024,3,8924.562262587,0.013489429,1089424.104319710,1.646658858,0.000000000,0.000000000,0.000000000,0.000000000,9394.495412844,1146788.990825688
corundum-to-nic,1088,3,8956.446369359,0.087727730,1029003.622454948,10.125032952,0.000000000,0.000000000,0.000000000,0.000000000,9428.076256499,1083188.908145581
corundum-to-nic,1152,3,8985.035573826,0.043067758,974938.755840475,4.673150801,0.000000000,0.000000000,0.000000000,0.000000000,9458.128078818,1026272.577996716
corundum-to-nic,1216,3,9010.700786804,0.043040725,926264.538992007,4.510562107,0.000000000,0.000000000,0.000000000,0.000000000,9485.179407176,975039.001560062
corundum-to-nic,1280,3,9034.010474644,0.013872474,882227.585414455,1.354733787,0.000000000,0.000000000,0.000000000,0.000000000,9509.658246657,928677.563150074
corundum-to-nic,1344,3,9055.121022248,0.080895501,842180.154598986,7.523763107,0.000000000,0.000000000,0.000000000,0.000000000,9531.914893617,886524.822695035
corundum-to-nic,1408,3,9074.461102017,0.045631434,805616.286658482,3.935622320,0.000000000,0.000000000,0.000000000,0.000000000,9552.238805970,848032.564450475
corundum-to-nic,1472,3,9092.164520769,0.040175775,772092.841865255,3.373013485,0.000000000,0.000000000,0.000000000,0.000000000,9570.871261378,812743.823146944
nic-to-corundum,256,3,4708.827880118,223.686851888,3325654.910810725,352185.906182567,30.203794427,9.533715085,5132416.000000000,2197208.329596445,7950.310559006,3881987.577639752
nic-to-corundum,320,3,5341.332630312,443.333390822,2955244.134329399,69357.969423052,29.325704108,6.788757078,4344439.333333333,1083009.837682158,8290.155440415,3238341.968911917
nic-to-corundum,384,3,6257.184710086,1074.726105032,2534476.048501858,88872.415425019,19.535933766,14.186635937,2488294.333333333,1855142.213573216,8533.333333333,2777777.777777778
nic-to-corundum,448,3,7626.106541544,244.088269991,2274053.178884200,16394.388144912,6.439118172,2.464219115,731219.333333333,277076.400377826,8715.953307393,2431906.614785992
nic-to-corundum,512,3,7907.310674700,335.481217228,2075966.624101193,37869.750712810,6.942641685,5.512906987,727392.333333333,590174.281052922,8858.131487889,2162629.757785467
nic-to-corundum,576,3,8452.614914591,111.413888972,1848166.635871036,1280.452660959,0.748716705,1.270841997,69162.333333333,117393.354140400,8971.962616822,1947040.498442368
nic-to-corundum,640,3,8611.674060454,0.044321354,1681967.589932447,8.656514507,0.000000000,0.000000000,0.000000000,0.000000000,9065.155807365,1770538.243626062
nic-to-corundum,704,3,8359.954488979,563.743609632,1541704.878157250,784.263506833,3.721312657,6.445502593,286705.333333333,496588.204134304,9142.857142857,1623376.623376623
nic-to-corundum,768,3,8747.924895500,0.022236381,1423815.900960251,3.619202579,0.000000000,0.000000000,0.000000000,0.000000000,9208.633093525,1498800.959232614
nic-to-corundum,832,3,8801.543667870,0.062990523,1322347.305869828,9.463720447,0.000000000,0.000000000,0.000000000,0.000000000,9265.033407572,1391982.182628062
