timestamp,direction,payload_size,repeat,sent,received,lost,lost_pct,min_ms,avg_ms,max_ms,stddev_ms,returncode
1782513588,nic-to-corundum,256,1,1000.0,1000.0,0.0,0.0,0.04,0.053,0.095,0.002,0
1782513597,corundum-to-nic,256,1,1000.0,1000.0,0.0,0.0,0.025,0.048,0.056,0.002,0
1782513605,nic-to-corundum,256,2,1000.0,1000.0,0.0,0.0,0.04,0.053,0.063,0.001,0
1782513614,corundum-to-nic,256,2,1000.0,1000.0,0.0,0.0,0.03,0.048,0.088,0.002,0
1782513622,nic-to-corundum,256,3,1000.0,1000.0,0.0,0.0,0.031,0.048,0.06,0.002,0
1782513631,corundum-to-nic,256,3,1000.0,1000.0,0.0,0.0,0.029,0.047,0.151,0.005,0
1782513639,nic-to-corundum,320,1,1000.0,1000.0,0.0,0.0,0.046,0.058,0.069,0.002,0
1782513648,corundum-to-nic,320,1,1000.0,1000.0,0.0,0.0,0.032,0.054,0.072,0.004,0
1782513656,nic-to-corundum,320,2,1000.0,1000.0,0.0,0.0,0.028,0.051,0.068,0.006,0
1782513665,corundum-to-nic,320,2,1000.0,1000.0,0.0,0.0,0.025,0.053,0.073,0.005,0
1782513673,nic-to-corundum,320,3,1000.0,1000.0,0.0,0.0,0.043,0.058,0.069,0.002,0
1782513681,corundum-to-nic,320,3,1000.0,1000.0,0.0,0.0,0.025,0.054,0.107,0.005,0
1782513690,nic-to-corundum,384,1,1000.0,1000.0,0.0,0.0,0.05,0.063,0.081,0.003,0
1782513698,corundum-to-nic,384,1,1000.0,1000.0,0.0,0.0,0.029,0.061,0.072,0.002,0
1782513707,nic-to-corundum,384,2,1000.0,1000.0,0.0,0.0,0.048,0.063,0.069,0.003,0
1782513715,corundum-to-nic,384,2,1000.0,1000.0,0.0,0.0,0.03,0.061,0.218,0.005,0
1782513723,nic-to-corundum,384,3,1000.0,1000.0,0.0,0.0,0.049,0.063,0.071,0.002,0
1782513732,corundum-to-nic,384,3,1000.0,1000.0,0.0,0.0,0.036,0.064,4.423,0.137,0
1782513740,nic-to-corundum,448,1,1000.0,1000.0,0.0,0.0,0.05,0.062,0.078,0.003,0
1782513749,corundum-to-nic,448,1,1000.0,1000.0,0.0,0.0,0.034,0.061,0.076,0.002,0
1782513757,nic-to-corundum,448,2,1000.0,1000.0,0.0,0.0,0.055,0.065,0.072,0.001,0
