timestamp,tool,direction,protocol,repeat,source_interface,destination_interface,duration_s,payload_size,netperf_buffer,metrics_source,throughput_bps,elapsed_s,lost_percent,jitter_ms,packets,lost_packets,retransmits,cpu_host_percent,cpu_remote_percent,returncode
1782507205,netperf,nic-to-corundum,udp,1,nic0,corundum0,10,256,50M,netperf_stdout,2692050000.0,10.0,0.0,0.0,13144804.0,0.0,0.0,0.0,0.0,0
1782507215,netperf,corundum-to-nic,udp,1,corundum0,nic0,10,256,50M,netperf_stdout,2692080000.0,10.0,0.0,0.0,13144960.0,0.0,0.0,0.0,0.0,0
1782507226,netperf,nic-to-corundum,udp,2,nic0,corundum0,10,256,50M,netperf_stdout,2704780000.0,10.0,0.029982717359183418,0.0,13206983.0,3961.0,0.0,0.0,0.0,0
1782507237,netperf,corundum-to-nic,udp,2,corundum0,nic0,10,256,50M,netperf_stdout,2733750000.0,10.0,0.0,0.0,13348426.0,0.0,0.0,0.0,0.0,0
1782507247,netperf,nic-to-corundum,udp,3,nic0,corundum0,10,256,50M,netperf_stdout,1388190000.0,10.0,48.541703043176575,0.0,6778303.0,6394117.0,0.0,0.0,0.0,0
1782507262,netperf,corundum-to-nic,udp,3,corundum0,nic0,10,256,50M,netperf_stdout,2686670000.0,10.0,0.0,0.0,13118521.0,0.0,0.0,0.0,0.0,0
1782507273,netperf,nic-to-corundum,udp,4,nic0,corundum0,10,256,50M,netperf_stdout,2693160000.0,10.0,0.05971229117892826,0.0,13150238.0,7857.0,0.0,0.0,0.0,0
1782507283,netperf,corundum-to-nic,udp,4,corundum0,nic0,10,256,50M,netperf_stdout,2743450000.0,10.0,0.0,0.0,13395808.0,0.0,0.0,0.0,0.0,0
1782507294,netperf,nic-to-corundum,udp,5,nic0,corundum0,10,256,50M,netperf_stdout,2685810000.0,10.0,0.37083100011327086,0.0,13114326.0,48813.0,0.0,0.0,0.0,0
1782507305,netperf,corundum-to-nic,udp,5,corundum0,nic0,10,256,50M,netperf_stdout,2699070000.0,10.0,0.0,0.0,13179085.0,0.0,0.0,0.0,0.0,0
1782507315,netperf,nic-to-corundum,udp,6,nic0,corundum0,10,256,50M,netperf_stdout,2696040000.0,10.0,0.0,0.0,13164291.0,0.0,0.0,0.0,0.0,0
1782507326,netperf,corundum-to-nic,udp,6,corundum0,nic0,10,256,50M,netperf_stdout,2686520000.0,10.0,0.0,0.0,13117815.0,0.0,0.0,0.0,0.0,0
1782507337,netperf,nic-to-corundum,udp,7,nic0,corundum0,10,256,50M,netperf_stdout,2696270000.0,10.0,0.0,0.0,13165399.0,0.0,0.0,0.0,0.0,0
1782507348,netperf,corundum-to-nic,udp,7,corundum0,nic0,10,256,50M,netperf_stdout,2691120000.0,10.0,0.0,0.0,13140268.0,0.0,0.0,0.0,0.0,0
1782507358,netperf,nic-to-corundum,udp,8,nic0,corundum0,10,256,50M,netperf_stdout,2723440000.0,10.0,0.48006186988465105,0.0,13298089.0,64147.0,0.0,0.0,0.0,0
1782507369,netperf,corundum-to-nic,udp,8,corundum0,nic0,10,256,50M,netperf_stdout,2734420000.0,10.0,0.0,0.0,13351708.0,0.0,0.0,0.0,0.0,0
1782507380,netperf,nic-to-corundum,udp,9,nic0,corundum0,10,256,50M,netperf_stdout,1405830000.0,10.0,31.240590500379533,0.0,6864432.0,3118830.0,0.0,0.0,0.0,0
1782507390,netperf,corundum-to-nic,udp,9,corundum0,nic0,10,256,50M,netperf_stdout,2696420000.0,10.0,0.0,0.0,13166115.0,0.0,0.0,0.0,0.0,0
1782507401,netperf,nic-to-corundum,udp,10,nic0,corundum0,10,256,50M,netperf_stdout,2669210000.0,10.0,0.5209838004774852,0.0,13033302.0,68257.0,0.0,0.0,0.0,0
1782507412,netperf,corundum-to-nic,udp,10,corundum0,nic0,10,256,50M,netperf_stdout,2700450000.0,10.0,0.0,0.0,13185797.0,0.0,0.0,0.0,0.0,0
1782507422,netperf,nic-to-corundum,udp,1,nic0,corundum0,10,320,50M,netperf_stdout,3326630000.0,10.0,0.0,0.0,12994701.0,0.0,0.0,0.0,0.0,0
1782507433,netperf,corundum-to-nic,udp,1,corundum0,nic0,10,320,50M,netperf_stdout,3315630000.0,10.0,0.0,0.0,12951718.0,0.0,0.0,0.0,0.0,0
1782507444,netperf,nic-to-corundum,udp,2,nic0,corundum0,10,320,50M,netperf_stdout,3310310000.0,10.0,1.9671339961584204,0.0,12930935.0,259473.0,0.0,0.0,0.0,0
1782507454,netperf,corundum-to-nic,udp,2,corundum0,nic0,10,320,50M,netperf_stdout,3332770000.0,10.0,0.0,0.0,13018644.0,0.0,0.0,0.0,0.0,0
1782507465,netperf,nic-to-corundum,udp,3,nic0,corundum0,10,320,50M,netperf_stdout,3329590000.0,10.0,0.2603488674824264,0.0,13006245.0,33950.0,0.0,0.0,0.0,0
1782507476,netperf,corundum-to-nic,udp,3,corundum0,nic0,10,320,50M,netperf_stdout,3336730000.0,10.0,0.0,0.0,13034127.0,0.0,0.0,0.0,0.0,0
1782507486,netperf,nic-to-corundum,udp,4,nic0,corundum0,10,320,50M,netperf_stdout,3299250000.0,10.0,0.3029960545067994,0.0,12887733.0,39168.0,0.0,0.0,0.0,0
1782507497,netperf,corundum-to-nic,udp,4,corundum0,nic0,10,320,50M,netperf_stdout,3370790000.0,10.0,0.0,0.0,13167178.0,0.0,0.0,0.0,0.0,0
1782507508,netperf,nic-to-corundum,udp,5,nic0,corundum0,10,320,50M,netperf_stdout,939000000.0,10.0,71.68323565638867,0.0,3667988.0,9285427.0,0.0,0.0,0.0,0
1782507518,netperf,corundum-to-nic,udp,5,corundum0,nic0,10,320,50M,netperf_stdout,3379660000.0,10.0,0.0,0.0,13201823.0,0.0,0.0,0.0,0.0,0
