test,payload_size,runs,goodput_mbps_mean,goodput_mbps_std,wire_mbps_mean,wire_mbps_std,pps_mean,pps_std,theoretical_goodput_mbps,theoretical_pps,lost_pct_mean,lost_pct_std
loopback,256,10,795.030969300,0.000016899,999.999891200,0.000021467,388198.715800000,0.008430105,795.031055901,388198.757763975,0.001100000,0.001100505
loopback,320,10,829.015453700,0.000015246,999.999890900,0.000018345,323834.161400000,0.005872724,829.015544041,323834.196891192,0.000500000,0.000971825
loopback,384,10,853.333251200,0.000015440,999.999903600,0.000018161,277777.750900000,0.004863698,853.333333333,277777.777777778,0.000800000,0.002529822
loopback,448,10,871.595259300,0.000017639,999.999918000,0.000020226,243190.641500000,0.004994441,871.595330739,243190.661478599,0.001300000,0.001059350
loopback,512,10,885.812994200,0.000297393,999.999825600,0.000335891,216262.938000000,0.072482948,885.813148789,216262.975778547,0.001000000,0.001154701
loopback,576,10,897.196206100,0.000012013,999.999937900,0.000013279,194704.037700000,0.002790858,897.196261682,194704.049844237,0.000000000,0.000000000
loopback,640,10,906.515528600,0.000010710,999.999942500,0.000011844,177053.814100000,0.002183270,906.515580737,177053.824362606,0.001400000,0.001173788
loopback,704,10,914.285669400,0.000010627,999.999950800,0.000011650,162337.654200000,0.001932184,914.285714286,162337.662337662,0.000600000,0.000966092
loopback,768,10,920.863267900,0.000009527,999.999955000,0.000010456,149880.089200000,0.001549193,920.863309353,149880.095923261,0.001500000,0.000849837
loopback,832,10,926.503306400,0.000007027,999.999962800,0.000007642,139198.213000000,0.001054093,926.503340757,139198.218262806,0.001000000,0.001333333
loopback,896,10,931.392894800,0.000008867,999.999960800,0.000009612,129937.624900000,0.001197219,931.392931393,129937.629937630,0.001500000,0.001178511
loopback,960,10,935.672478800,0.000008535,999.999961500,0.000008873,121832.354100000,0.001286684,935.672514620,121832.358674464,0.001100000,0.000875595
loopback,1024,10,939.449505100,0.000007172,999.999961500,0.000007427,114678.894700000,0.000823273,939.449541284,114678.899082569,0.000500000,0.000707107
loopback,1088,10,942.807590600,0.000006346,999.999962900,0.000006983,108318.886800000,0.000918937,942.807625650,108318.890814558,0.001200000,0.001813529
loopback,1152,10,945.812778000,0.000004989,999.999968000,0.000004989,102627.254500000,0.000527046,945.812807882,102627.257799672,0.002600000,0.005481281
loopback,1216,10,948.517910500,0.000005017,999.999968200,0.000005350,97503.897200000,0.000632456,948.517940718,97503.900156006,0.000700000,0.001251666
loopback,1280,10,950.965797500,0.000003979,999.999971100,0.000004254,92867.753600000,0.000699206,950.965824666,92867.756315007,0.001300000,0.001159502
loopback,1344,10,953.191463000,0.000005637,999.999972500,0.000006096,88652.479700000,0.000674949,953.191489362,88652.482269504,0.000400000,0.000516398
loopback,1408,10,955.223857400,0.000005232,999.999975500,0.000005191,84803.254400000,0.000516398,955.223880597,84803.256445047,0.000300000,0.000483046
loopback,1472,10,957.087065300,0.000118669,999.999936400,0.000123983,81274.377200000,0.010282672,957.087126138,81274.382314694,0.001200000,0.001135292
