test,payload_size,runs,avg_ms_mean,avg_ms_std,lost_pct_mean,lost_pct_std
rtt,256,10,0.035340872,0.000203757,0.000000000,0.000000000
rtt,320,10,0.038104067,0.000096835,0.000000000,0.000000000
rtt,384,10,0.040677283,0.000062796,0.000000000,0.000000000
rtt,448,10,0.043597463,0.000083239,0.000000000,0.000000000
rtt,512,10,0.046535327,0.000092131,0.000000000,0.000000000
rtt,576,10,0.049040681,0.000073210,0.000000000,0.000000000
rtt,640,10,0.051848710,0.000081759,0.000000000,0.000000000
rtt,704,10,0.054577686,0.000122067,0.000000000,0.000000000
rtt,768,10,0.057908649,0.000109466,0.000000000,0.000000000
rtt,832,10,0.060081421,0.000106202,0.000000000,0.000000000
rtt,896,10,0.063082254,0.000111304,0.000000000,0.000000000
rtt,960,10,0.065898938,0.000049396,0.000000000,0.000000000
rtt,1024,10,0.068360888,0.000095441,0.000000000,0.000000000
rtt,1088,10,0.071247820,0.000075652,0.000000000,0.000000000
rtt,1152,10,0.074128801,0.000095080,0.000000000,0.000000000
rtt,1216,10,0.077192730,0.000081758,0.000000000,0.000000000
rtt,1280,10,0.079493999,0.000090260,0.000000000,0.000000000
rtt,1344,10,0.082325513,0.000069407,0.000000000,0.000000000
rtt,1408,10,0.085227063,0.000079748,0.000000000,0.000000000
rtt,1472,10,0.087596534,0.000075769,0.000000000,0.000000000
