test,payload_size,runs,avg_ms_mean,avg_ms_std,lost_pct_mean,lost_pct_std
rtt,256,5,0.038756549,0.001144853,0.000000000,0.000000000
rtt,330,5,0.040700646,0.000214086,0.000000000,0.000000000
rtt,404,5,0.043300057,0.000326844,0.000000000,0.000000000
rtt,478,5,0.046369679,0.000684999,0.000000000,0.000000000
rtt,552,5,0.048787170,0.000652112,0.000000000,0.000000000
rtt,626,5,0.052133430,0.001117672,0.000000000,0.000000000
rtt,700,5,0.058962705,0.001320548,0.000000000,0.000000000
rtt,774,5,0.073228730,0.011027530,0.000000000,0.000000000
rtt,848,5,0.075903353,0.000400222,0.000000000,0.000000000
rtt,922,5,0.088858224,0.010735727,0.000000000,0.000000000
rtt,996,5,0.086661748,0.012046671,0.000000000,0.000000000
rtt,1070,5,0.089292534,0.010429535,0.000000000,0.000000000
rtt,1144,5,0.095126025,0.009680334,0.000000000,0.000000000
rtt,1218,5,0.093000521,0.002118016,0.000000000,0.000000000
rtt,1292,5,0.098915195,0.010006097,0.000000000,0.000000000
rtt,1366,5,0.100756544,0.007661321,0.000000000,0.000000000
rtt,1440,5,0.104912452,0.009738195,0.000000000,0.000000000
