test,payload_size,runs,avg_ms_mean,avg_ms_std,lost_pct_mean,lost_pct_std
rtt,256,10,0.092171604,0.002534512,0.000000000,0.000000000
rtt,320,10,0.097596922,0.000400696,0.000000000,0.000000000
rtt,384,10,0.098211903,0.001981417,0.000000000,0.000000000
rtt,448,10,0.103931240,0.000468507,0.000000000,0.000000000
rtt,512,10,0.107953692,0.000298516,0.000000000,0.000000000
rtt,576,10,0.111410256,0.000189515,0.000000000,0.000000000
rtt,640,10,0.118273944,0.001853981,0.000000000,0.000000000
rtt,704,10,0.124355397,0.001033301,0.000000000,0.000000000
rtt,768,10,0.127883314,0.000346517,0.000000000,0.000000000
rtt,832,10,0.130634542,0.000176855,0.000000000,0.000000000
rtt,896,10,0.133476997,0.001144748,0.000000000,0.000000000
rtt,960,10,0.134019090,0.000567930,0.000000000,0.000000000
rtt,1024,10,0.137225974,0.000724739,0.000000000,0.000000000
rtt,1088,10,0.140472409,0.000271706,0.000000000,0.000000000
rtt,1152,10,0.147882177,0.001677318,0.000000000,0.000000000
rtt,1216,10,0.154407272,0.001017605,0.000000000,0.000000000
rtt,1280,10,0.157038761,0.000505881,0.000000000,0.000000000
rtt,1344,10,0.160622057,0.000263392,0.000000000,0.000000000
rtt,1408,10,0.165033926,0.001020815,0.000000000,0.000000000
rtt,1472,10,0.167620441,0.000194362,0.000000000,0.000000000
