timestamp,direction,payload_size,repeat,sent,received,lost,lost_pct,min_ms,avg_ms,max_ms,stddev_ms,returncode
1782442704,nic-to-corundum,256,1,1000.0,1000.0,0.0,0.0,0.024,0.043,0.087,0.004,0
1782442712,corundum-to-nic,256,1,1000.0,1000.0,0.0,0.0,0.028,0.049,0.965,0.029,0
1782442719,nic-to-corundum,320,1,1000.0,1000.0,0.0,0.0,0.035,0.051,0.082,0.006,0
1782442727,corundum-to-nic,320,1,1000.0,1000.0,0.0,0.0,0.03,0.054,0.066,0.005,0
1782442734,nic-to-corundum,384,1,1000.0,1000.0,0.0,0.0,0.042,0.063,0.078,0.004,0
1782442742,corundum-to-nic,384,1,1000.0,1000.0,0.0,0.0,0.028,0.061,0.069,0.002,0
1782442749,nic-to-corundum,448,1,1000.0,997.0,3.0,0.3,0.035,0.067,0.903,0.07,0
1782442756,corundum-to-nic,448,1,1000.0,1000.0,0.0,0.0,0.045,0.062,0.411,0.013,0
1782442764,nic-to-corundum,512,1,1000.0,997.0,3.0,0.3,0.038,0.073,1.045,0.09,0
1782442771,corundum-to-nic,512,1,1000.0,1000.0,0.0,0.0,0.041,0.062,0.082,0.002,0
1782442779,nic-to-corundum,576,1,1000.0,1000.0,0.0,0.0,0.033,0.063,0.086,0.005,0
1782442786,corundum-to-nic,576,1,1000.0,1000.0,0.0,0.0,0.029,0.062,0.071,0.002,0
1782442794,nic-to-corundum,640,1,1000.0,1000.0,0.0,0.0,0.043,0.064,0.478,0.02,0
1782442801,corundum-to-nic,640,1,1000.0,1000.0,0.0,0.0,0.032,0.062,0.068,0.002,0
1782442809,nic-to-corundum,704,1,1000.0,1000.0,0.0,0.0,0.036,0.063,0.075,0.004,0
1782442816,corundum-to-nic,704,1,1000.0,1000.0,0.0,0.0,0.039,0.062,0.071,0.002,0
1782442824,nic-to-corundum,768,1,1000.0,1000.0,0.0,0.0,0.039,0.064,0.076,0.004,0
1782442831,corundum-to-nic,768,1,1000.0,1000.0,0.0,0.0,0.031,0.062,0.069,0.002,0
1782442839,nic-to-corundum,832,1,1000.0,1000.0,0.0,0.0,0.036,0.066,0.318,0.015,0
1782442846,corundum-to-nic,832,1,1000.0,1000.0,0.0,0.0,0.036,0.062,0.076,0.002,0
1782442853,nic-to-corundum,896,1,1000.0,1000.0,0.0,0.0,0.044,0.069,0.417,0.025,0
1782442861,corundum-to-nic,896,1,1000.0,1000.0,0.0,0.0,0.033,0.062,0.069,0.002,0
1782442868,nic-to-corundum,960,1,1000.0,1000.0,0.0,0.0,0.038,0.067,0.418,0.027,0
1782442876,corundum-to-nic,960,1,1000.0,1000.0,0.0,0.0,0.041,0.063,0.107,0.002,0
1782442883,nic-to-corundum,1024,1,1000.0,1000.0,0.0,0.0,0.037,0.071,0.483,0.034,0
1782442890,corundum-to-nic,1024,1,1000.0,1000.0,0.0,0.0,0.034,0.063,0.069,0.002,0
1782442898,nic-to-corundum,1088,1,1000.0,1000.0,0.0,0.0,0.031,0.07,0.485,0.036,0
1782442905,corundum-to-nic,1088,1,1000.0,1000.0,0.0,0.0,0.042,0.063,0.079,0.002,0
1782442913,nic-to-corundum,1152,1,1000.0,1000.0,0.0,0.0,0.039,0.069,0.371,0.022,0
1782442920,corundum-to-nic,1152,1,1000.0,1000.0,0.0,0.0,0.046,0.063,0.069,0.002,0
1782442927,nic-to-corundum,1216,1,1000.0,1000.0,0.0,0.0,0.033,0.07,0.438,0.031,0
1782442935,corundum-to-nic,1216,1,1000.0,1000.0,0.0,0.0,0.038,0.063,0.08,0.002,0
1782442942,nic-to-corundum,1280,1,1000.0,1000.0,0.0,0.0,0.033,0.062,0.114,0.01,0
1782442950,corundum-to-nic,1280,1,1000.0,1000.0,0.0,0.0,0.042,0.06,0.072,0.002,0
1782442957,nic-to-corundum,1344,1,1000.0,1000.0,0.0,0.0,0.048,0.066,0.122,0.008,0
1782442965,corundum-to-nic,1344,1,1000.0,1000.0,0.0,0.0,0.037,0.061,0.071,0.002,0
1782442972,nic-to-corundum,1408,1,1000.0,1000.0,0.0,0.0,0.036,0.063,0.14,0.01,0
1782442979,corundum-to-nic,1408,1,1000.0,1000.0,0.0,0.0,0.032,0.059,0.093,0.004,0
1782442987,nic-to-corundum,1472,1,1000.0,1000.0,0.0,0.0,0.04,0.063,0.122,0.011,0
1782442994,corundum-to-nic,1472,1,1000.0,1000.0,0.0,0.0,0.033,0.061,0.091,0.003,0
