direction,payload_size,runs,avg_ms_mean,avg_ms_std,lost_pct_mean,lost_pct_std
corundum-to-nic,256,5,0.047800000,0.000447214,0.000000000,0.000000000
corundum-to-nic,320,5,0.054800000,0.001303840,0.000000000,0.000000000
corundum-to-nic,384,5,0.061000000,0.000000000,0.000000000,0.000000000
corundum-to-nic,448,5,0.060800000,0.000447214,0.000000000,0.000000000
corundum-to-nic,512,5,0.061000000,0.000000000,0.000000000,0.000000000
corundum-to-nic,576,5,0.061600000,0.000547723,0.000000000,0.000000000
corundum-to-nic,640,5,0.062000000,0.000000000,0.000000000,0.000000000
corundum-to-nic,704,5,0.061400000,0.000547723,0.000000000,0.000000000
corundum-to-nic,768,5,0.062000000,0.000000000,0.000000000,0.000000000
corundum-to-nic,832,5,0.062000000,0.000000000,0.000000000,0.000000000
corundum-to-nic,896,5,0.062000000,0.000000000,0.000000000,0.000000000
corundum-to-nic,960,5,0.062000000,0.000000000,0.000000000,0.000000000
corundum-to-nic,1024,5,0.062400000,0.000894427,0.000000000,0.000000000
corundum-to-nic,1088,5,0.063000000,0.000000000,0.000000000,0.000000000
corundum-to-nic,1152,5,0.062600000,0.000547723,0.000000000,0.000000000
corundum-to-nic,1216,5,0.062800000,0.000447214,0.000000000,0.000000000
corundum-to-nic,1280,5,0.057200000,0.001788854,0.000000000,0.000000000
corundum-to-nic,1344,5,0.059400000,0.001516575,0.000000000,0.000000000
corundum-to-nic,1408,5,0.060000000,0.001224745,0.000000000,0.000000000
corundum-to-nic,1472,5,0.060200000,0.000836660,0.000000000,0.000000000
nic-to-corundum,256,5,0.050000000,0.004123106,0.000000000,0.000000000
nic-to-corundum,320,5,0.057800000,0.002489980,0.040000000,0.054772256
nic-to-corundum,384,5,0.061000000,0.001581139,0.000000000,0.000000000
nic-to-corundum,448,5,0.064600000,0.002302173,0.040000000,0.054772256
nic-to-corundum,512,5,0.065400000,0.003577709,0.020000000,0.044721360
nic-to-corundum,576,5,0.065600000,0.001516575,0.000000000,0.000000000
nic-to-corundum,640,5,0.068200000,0.004969909,0.000000000,0.000000000
nic-to-corundum,704,5,0.068200000,0.002489980,0.000000000,0.000000000
nic-to-corundum,768,5,0.071200000,0.010401923,0.000000000,0.000000000
nic-to-corundum,832,5,0.063800000,0.001923538,0.000000000,0.000000000
nic-to-corundum,896,5,0.066000000,0.004062019,0.000000000,0.000000000
nic-to-corundum,960,5,0.070000000,0.006442049,0.000000000,0.000000000
nic-to-corundum,1024,5,0.071400000,0.007368853,0.000000000,0.000000000
nic-to-corundum,1088,5,0.069800000,0.010281051,0.000000000,0.000000000
nic-to-corundum,1152,5,0.074800000,0.008555700,0.000000000,0.000000000
nic-to-corundum,1216,5,0.078600000,0.007368853,0.000000000,0.000000000
nic-to-corundum,1280,5,0.069400000,0.010573552,0.000000000,0.000000000
nic-to-corundum,1344,5,0.071000000,0.009246621,0.000000000,0.000000000
nic-to-corundum,1408,5,0.070200000,0.009628084,0.000000000,0.000000000
nic-to-corundum,1472,5,0.072200000,0.014042792,0.000000000,0.000000000
