timestamp,direction,protocol,repeat,source_interface,destination_interface,duration_s,omit_s,streams,udp_bandwidth,socket_buffer,pacing_timer_us,payload_size,metrics_source,throughput_bps,elapsed_s,lost_percent,jitter_ms,packets,lost_packets,retransmits,cpu_host_percent,cpu_remote_percent,returncode
1782441199,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,7155279503,,100,256,server_json,2451959034.11384,5.000258,18.76323575030607,0.000415071917820467,7369246.0,1382709.0,0.0,199.88790419558583,0.0,0
1782441208,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,7155279503,,100,256,server_json,3223923399.8486857,5.000199,0.0,0.0004896724171802365,7871220.0,0.0,0.0,194.90665134521717,0.0,0
1782441216,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,7461139896,,100,320,server_json,3665320489.424214,5.000243,0.5752024659073313,0.0005603221790658484,7200595.0,41418.0,0.0,199.97944358542725,0.0,0
1782441224,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,7461139896,,100,320,server_json,4047352612.660791,5.000209,0.0,0.00041329679641480456,7905316.0,0.0,0.0,197.3583582253726,0.0,0
1782441233,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,7680000000,,100,384,server_json,4368190560.49121,5.000239,1.161796596975089,0.0013233001462680974,7193600.0,83575.0,0.0,199.71659555246868,0.0,0
1782441241,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,7680000000,,100,384,server_json,4810787836.196027,5.000245,2.070975650691005,0.0003202714962566035,7996038.0,165596.0,0.0,199.9604156994393,0.0,0
1782441250,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,7844357977,,100,448,server_json,5009018605.88459,5.000246,5.86591941727263,0.000622191644997285,7423849.0,435477.0,0.0,184.00856253298983,0.0,0
1782441258,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,7844357977,,100,448,server_json,5560480665.051822,5.000272,0.16225683192248735,0.00032282149921487174,7770397.0,12608.0,0.0,198.902386918468,0.0,0
1782441266,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,7972318339,,100,512,server_json,5447759343.61787,5.000258,9.27607782096921,0.00046694533212819525,7330415.0,679975.0,0.0,199.7774369016474,0.0,0
1782441275,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,7972318339,,100,512,server_json,4654582689.032473,5.000252,29.374200089466928,0.0005216184446668123,8045431.0,2363281.0,0.0,198.73379495243623,0.0,0
1782441283,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,8074766355,,100,576,server_json,6500746161.498067,5.000258,0.350490525694822,0.000610201973343307,7078936.0,24811.0,0.0,199.9611444113664,0.0,0
1782441292,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,8074766355,,100,576,server_json,5396046209.939036,5.000223,27.336556313695425,0.0004839502236332194,8058173.0,2202827.0,0.0,199.9655583286347,0.0,0
1782441300,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,8158640227,,100,640,server_json,7351642119.148824,5.000234,0.0,0.0005209195415966884,7179674.0,0.0,0.0,198.43198210803945,0.0,0
1782441308,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,8158640227,,100,640,server_json,6834068823.647877,5.000229,16.225083392694078,0.0006309215542360895,7966825.0,1292624.0,0.0,199.9648298325303,0.0,0
1782441317,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,8228571429,,100,704,server_json,7820559431.726346,5.000267,5.5183669559308175,0.0005279026663601975,7348877.0,405538.0,0.0,199.95473033047858,0.0,0
1782441325,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,8228571429,,100,704,server_json,8228406614.785992,5.000192,0.0,0.0009003645353134337,7305329.0,0.0,0.0,186.11028256335533,0.0,0
1782441334,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,8287769784,,100,768,server_json,4856745326.05285,5.000217,0.0,0.0004974685333005224,3952601.0,0.0,0.0,115.82394390140003,0.0,0
1782441342,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,8287769784,,100,768,server_json,8287688049.879765,5.000184,0.0,0.0006723506063733532,6744786.0,0.0,0.0,172.53384440466462,0.0,0
1782441350,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,8338530067,,100,832,server_json,8332379861.427067,5.000255,0.06989147664023466,0.0003945808253447857,6263997.0,4378.0,0.0,179.23605319674448,0.0,0
1782441359,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,8338530067,,100,832,server_json,8338313332.04538,5.000178,0.0,0.0005568725912952267,6263980.0,0.0,0.0,161.796114653312,0.0,0
1782441367,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,8382536383,,100,896,server_json,8382389439.5405655,5.000237,0.0,0.00036611509463367175,5847368.0,0.0,0.0,167.9400323503148,0.0,0
1782441376,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,8382536383,,100,896,server_json,8345014283.617257,5.000274,0.0,0.0005358779464205626,5821339.0,0.0,0.0,175.60244350121275,0.0,0
1782441384,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,8421052632,,100,960,server_json,7318237212.966335,5.000241,11.790804907954108,0.000524172085553647,5401599.0,636892.0,0.0,158.284587552698,0.0,0
1782441392,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,8421052632,,100,960,server_json,8420869897.027087,5.000247,0.0,0.0005943497301036785,5482608.0,0.0,0.0,142.81293426983243,0.0,0
1782441401,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,8455045872,,100,1024,server_json,8454746270.495425,5.000262,0.0,0.00061205444154429,5160638.0,0.0,0.0,153.5395610095526,0.0,0
1782441409,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,8455045872,,100,1024,server_json,8454862144.280092,5.000177,0.0,0.0011282577749065325,5160621.0,0.0,0.0,133.5839978149177,0.0,0
1782441418,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,8485268631,,100,1088,server_json,6674099604.50025,5.000256,29.6972605181186,0.002901205856839781,5453732.0,1619609.0,0.0,139.5138709431807,0.0,0
1782441426,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,8485268631,,100,1088,server_json,8485238495.337177,5.00019,0.0,0.0019750237865677274,4874518.0,0.0,0.0,127.66619372806849,0.0,0
1782441434,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,8512315271,,100,1152,server_json,8512190596.833053,5.000209,0.0,0.00042106441092492545,4618352.0,0.0,0.0,140.5433589791427,0.0,0
1782441443,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,8512315271,,100,1152,server_json,8512176300.641616,5.000186,0.0,0.000764329182343038,4618324.0,0.0,0.0,119.71137466167121,0.0,0
1782441451,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,8536661466,,100,1216,server_json,8536506632.89754,5.000228,0.0,0.000430720710548021,4387796.0,0.0,0.0,135.81229879238288,0.0,0
1782441460,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,8536661466,,100,1216,server_json,8536605296.63555,5.000193,0.0,0.0013114129594711,4387816.0,0.0,0.0,132.1812427698515,0.0,0
1782441468,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,8558692422,,100,1280,server_json,8558424144.683792,5.000256,0.0,0.000725026895721788,4179132.0,0.0,0.0,130.4808349288691,0.0,0
1782441477,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,8558692422,,100,1280,server_json,8558633578.756114,5.000215,0.0,0.0007963890434087086,4179200.0,0.0,0.0,107.73453157967667,0.0,0
1782441485,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,8578723404,,100,1344,server_json,5793494160.809478,5.000265,32.49934485815114,0.003252970992586323,3991502.0,1297212.0,0.0,198.775803662318,0.0,0
1782441493,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,8578723404,,100,1344,server_json,8578716244.131456,5.000175,0.0,0.00203999654308428,3989498.0,0.0,0.0,103.94672708416068,0.0,0
1782441502,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,8597014925,,100,1408,server_json,8596911410.0346,5.000239,0.0,0.0006070571123137444,3816283.0,0.0,0.0,120.31231451557952,0.0,0
1782441510,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,8597014925,,100,1408,server_json,8596983093.73424,5.000158,0.0,0.0016719382343059169,3816253.0,0.0,0.0,98.78097751221073,0.0,0
1782441519,nic-to-corundum,udp,1,nic0,corundum0,5,2,1,8613784135,,100,1472,server_json,7690046885.265114,5.000249,0.0,0.0017563647508821896,3265298.0,0.0,0.0,102.88120850420206,0.0,0
1782441527,corundum-to-nic,udp,1,corundum0,nic0,5,2,1,8613784135,,100,1472,server_json,8613730560.12262,5.000173,0.0,0.0006919892432845205,3657451.0,0.0,0.0,99.99625724711954,0.0,0
