test,payload_size,runs,avg_ms_mean,avg_ms_std,lost_pct_mean,lost_pct_std
rtt,256,5,0.088995597,0.000091032,0.000000000,0.000000000
rtt,330,5,0.097526821,0.000160013,0.000000000,0.000000000
rtt,404,5,0.101020894,0.000145838,0.000000000,0.000000000
rtt,478,5,0.105408573,0.000114178,0.000000000,0.000000000
rtt,552,5,0.109557255,0.000188764,0.000000000,0.000000000
rtt,626,5,0.119570545,0.000143320,0.000000000,0.000000000
rtt,700,5,0.123484321,0.000215020,0.000000000,0.000000000
rtt,774,5,0.127930370,0.000177462,0.000000000,0.000000000
rtt,848,5,0.131607262,0.000184467,0.000000000,0.000000000
rtt,922,5,0.135967416,0.000091949,0.000000000,0.000000000
rtt,996,5,0.140212069,0.000187462,0.000000000,0.000000000
rtt,1070,5,0.144511282,0.000150187,0.000000000,0.000000000
rtt,1144,5,0.149218620,0.000261915,0.000000000,0.000000000
rtt,1218,5,0.153700765,0.000105121,0.000000000,0.000000000
rtt,1292,5,0.157244199,0.000121344,0.000000000,0.000000000
rtt,1366,5,0.161480674,0.000168287,0.000000000,0.000000000
rtt,1440,5,0.165790941,0.000127883,0.000000000,0.000000000
