timestamp,fpga_ip,fpga_ctrl_port,fpga_data_port,local_port,packet_count,payload_size,sent_packets,send_errors,drained_packets,elapsed_s,packets_per_second,payload_mbps,estimated_wire_mbps
1781802649,192.168.1.12,55555,1234,9999,100000,256,100000,0,0,0.427193135,234086.159,479.408453,603.005945
1781802651,192.168.1.12,55555,1234,9999,100000,256,100000,0,0,0.411520032,243001.536,497.667146,625.971958
1781802652,192.168.1.12,55555,1234,9999,100000,256,100000,0,0,0.411232880,243171.217,498.014653,626.409056
1781802654,192.168.1.12,55555,1234,9999,100000,256,100000,0,0,0.411631698,242935.616,497.532141,625.802146
1781802655,192.168.1.12,55555,1234,9999,100000,256,100000,0,0,0.458518907,218093.515,446.655518,561.808894
1781802657,192.168.1.12,55555,1234,9999,100000,330,100000,0,0,0.428432938,233408.758,616.199121,739.438946
1781802658,192.168.1.12,55555,1234,9999,100000,330,100000,0,0,0.416690597,239986.217,633.563613,760.276335
1781802659,192.168.1.12,55555,1234,9999,100000,330,100000,0,0,0.543156047,184109.153,486.048165,583.257798
1781802661,192.168.1.12,55555,1234,9999,100000,330,100000,0,0,0.438127569,228244.025,602.564227,723.077073
1781802663,192.168.1.12,55555,1234,9999,100000,330,100000,0,0,0.542942283,184181.640,486.239529,583.487435
1781802664,192.168.1.12,55555,1234,9999,100000,404,100000,0,0,0.325460736,307256.725,993.053737,1155.285288
1781802665,192.168.1.12,55555,1234,9999,100000,404,100000,0,0,0.547511382,182644.605,590.307363,686.743714
1781802667,192.168.1.12,55555,1234,9999,100000,404,100000,0,0,0.387633153,257975.870,833.778013,969.989272
1781802668,192.168.1.12,55555,1234,9999,100000,404,100000,0,0,0.325146694,307553.488,994.012875,1156.401117
1781802669,192.168.1.12,55555,1234,9999,100000,404,100000,0,0,0.328311299,304588.969,984.431547,1145.254523
1781802671,192.168.1.12,55555,1234,9999,100000,478,100000,0,0,0.201894258,495308.787,1894.060801,2155.583840
1781802672,192.168.1.12,55555,1234,9999,100000,478,100000,0,0,0.314276214,318191.437,1216.764053,1384.769132
