timestamp,fpga_ip,fpga_ctrl_port,fpga_data_port,local_port,payload_size,sent,received,lost,min_ms,avg_ms,max_ms,stddev_ms
1781802552,192.168.1.12,55555,1234,9999,256,1000,1000,0,0.088020000,0.089145903,0.098057000,0.000574073
1781802553,192.168.1.12,55555,1234,9999,256,1000,1000,0,0.087871000,0.088962729,0.093427000,0.000531933
1781802554,192.168.1.12,55555,1234,9999,256,1000,1000,0,0.087909000,0.089001153,0.093205000,0.000448337
1781802556,192.168.1.12,55555,1234,9999,256,1000,1000,0,0.087890000,0.088903435,0.093094000,0.000476439
1781802557,192.168.1.12,55555,1234,9999,256,1000,1000,0,0.087816000,0.088964767,0.094278000,0.000487178
1781802558,192.168.1.12,55555,1234,9999,330,1000,1000,0,0.096186000,0.097556441,0.107445000,0.000718532
1781802559,192.168.1.12,55555,1234,9999,330,1000,1000,0,0.096205000,0.097650987,0.105816000,0.000770856
1781802560,192.168.1.12,55555,1234,9999,330,1000,1000,0,0.096056000,0.097602693,0.105594000,0.000752605
1781802561,192.168.1.12,55555,1234,9999,330,1000,1000,0,0.095501000,0.097247684,0.102964000,0.000683751
1781802562,192.168.1.12,55555,1234,9999,330,1000,1000,0,0.096260000,0.097576300,0.110742000,0.000931230
1781802563,192.168.1.12,55555,1234,9999,404,1000,1000,0,0.099872000,0.101190096,0.112001000,0.000789001
1781802564,192.168.1.12,55555,1234,9999,404,1000,1000,0,0.099130000,0.100809176,0.128983000,0.001160725
1781802565,192.168.1.12,55555,1234,9999,404,1000,1000,0,0.099482000,0.101076662,0.107594000,0.000717098
1781802567,192.168.1.12,55555,1234,9999,404,1000,1000,0,0.099557000,0.101079165,0.110205000,0.000766964
1781802568,192.168.1.12,55555,1234,9999,404,1000,1000,0,0.099446000,0.100949370,0.123075000,0.000997423
1781802569,192.168.1.12,55555,1234,9999,478,1000,1000,0,0.103631000,0.105426526,0.113002000,0.000710279
