test,payload_size,runs,avg_ms_mean,avg_ms_std,lost_pct_mean,lost_pct_std
rtt,256,5,0.034922557,0.000144255,0.000000000,0.000000000
rtt,330,5,0.038546029,0.000034584,0.000000000,0.000000000
rtt,404,5,0.041350901,0.000108246,0.000000000,0.000000000
rtt,478,5,0.044466647,0.000086763,0.000000000,0.000000000
rtt,552,5,0.047863637,0.000037786,0.000000000,0.000000000
rtt,626,5,0.051156333,0.000052668,0.000000000,0.000000000
rtt,700,5,0.054452863,0.000097158,0.000000000,0.000000000
rtt,774,5,0.057818922,0.000074049,0.000000000,0.000000000
rtt,848,5,0.060768529,0.000121965,0.000000000,0.000000000
rtt,922,5,0.063862213,0.000070291,0.000000000,0.000000000
rtt,996,5,0.067029097,0.000045104,0.000000000,0.000000000
rtt,1070,5,0.070179981,0.000040354,0.000000000,0.000000000
rtt,1144,5,0.073677326,0.000054308,0.000000000,0.000000000
rtt,1218,5,0.077066944,0.000090080,0.000000000,0.000000000
rtt,1292,5,0.079925607,0.000121971,0.000000000,0.000000000
rtt,1366,5,0.083030580,0.000086530,0.000000000,0.000000000
rtt,1440,5,0.086216622,0.000086410,0.000000000,0.000000000
